Id;Disease
123;Oculocerebrorenal syndrome of Lowe
122;Retinoblastoma
121;Multiple endocrine neoplasia type 1
120;Fragile X syndrome
137;Rheumatic fever
139;Prader-Willi syndrome
142;X-linked agammaglobulinemia
131;Mucopolysaccharidosis type 2
132;Mucopolysaccharidosis type 1
134;Wilson disease
155;X-linked retinoschisis
158;Stargardt disease
144;Wiskott-Aldrich syndrome
145;Williams syndrome
147;Wolf-Hirschhorn syndrome
148;Achondroplasia
149;Ataxia with vitamin E deficiency
150;Dentatorubral pallidoluysian atrophy
151;Rubinstein-Taybi syndrome
17514;Spondyloepiphyseal dysplasia, Nishimura type
171;Non-acquired isolated growth hormone deficiency
170;T-B+ severe combined immunodeficiency due to gamma chain deficiency
17515;Spondyloepiphyseal dysplasia, Cantu type
169;Kennedy disease
168;Ornithine transcarbamylase deficiency
173;Classic homocystinuria
17517;Spondyloepiphyseal dysplasia tarda, Kohn type
172;Leprechaunism
162;Hypophosphatasia
17507;Hb Bart's hydrops fetalis
161;Hypochondroplasia
160;Hypophosphatemic rickets
167;Leber hereditary optic neuropathy
164;Hydrocephalus with stenosis of the aqueduct of Sylvius
17509;Maffucci syndrome
185;Neurofibromatosis type 1
17528;Febrile infection-related epilepsy syndrome
190;Norrie disease
17533;Rolandic epilepsy-paroxysmal exercise-induced dystonia-writer's cramp syndrome
17532;Rolandic epilepsy-speech dyspraxia syndrome
176;Chronic granulomatous disease
177;Blue cone monochromatism
182;NARP syndrome
183;Neurofibromatosis type 2
180;X-linked hypohidrotic ectodermal dysplasia
17525;2p21 microdeletion syndrome
17524;Hypotonia-cystinuria syndrome
205;Fibrodysplasia ossificans progressiva
207;Gorlin syndrome
206;Noonan syndrome
201;Monosomy 5p
203;46,XY disorder of sex development due to 17-beta-hydroxysteroid dehydrogenase 3 deficiency
202;Cystinuria
197;Lesch-Nyhan syndrome
196;Li-Fraumeni syndrome
193;Pearson syndrome
192;Hereditary neuropathy with liability to pressure palsies
194;Alpha-1-antitrypsin deficiency
220;Waardenburg syndrome type 2
221;Waardenburg syndrome type 3
218;Townes-Brocks syndrome
219;Waardenburg syndrome type 1
212;Hyperkalemic periodic paralysis
215;Schwartz-Jampel syndrome
209;Diastrophic dwarfism
210;Malaria
211;Hypokalemic periodic paralysis
238;Blepharophimosis-epicanthus inversus-ptosis syndrome
237;BOR syndrome
236;Hereditary hemorrhagic telangiectasia
235;Saethre-Chotzen syndrome
234;Pfeiffer syndrome
233;Peutz-Jeghers syndrome
230;WAGR syndrome
225;Zellweger syndrome
254;Aicardi syndrome
255;Albers-Schönberg osteopetrosis
252;Abetalipoproteinemia
253;Alagille syndrome
249;Chédiak-Higashi syndrome
246;Cat-eye syndrome
244;Crouzon disease
242;Crigler-Najjar syndrome
17459;Cap polyposis
243;Cowden syndrome
240;Coffin-Lowry syndrome
275;X-linked lymphoproliferative disease
279;McCune-Albright syndrome
278;Menkes disease
283;Jeune syndrome
281;Microphthalmia, Lenz type
280;Meckel syndrome
287;Ellis Van Creveld syndrome
284;Congenital muscular dystrophy type 1A
259;Bartter syndrome
257;Partial chromosome Y deletion
263;Autosomal dominant cerebellar ataxia
260;Beckwith-Wiedemann syndrome
261;Apert syndrome
264;Familial paroxysmal ataxia
265;Lamellar ichthyosis
305;Ocular albinism with late-onset sensorineural deafness
304;Ermine phenotype
17906;Severe congenital nemaline myopathy
17907;Intermediate nemaline myopathy
17908;Typical nemaline myopathy
17909;Childhood-onset nemaline myopathy
311;Oculocutaneous albinism
17910;Adult-onset nemaline myopathy
17912;X-linked spastic paraplegia type 34
313;Bruck syndrome
17913;Autosomal dominant spastic paraplegia type 37
17914;Autosomal dominant spastic paraplegia type 38
315;Mitochondrial DNA-related cardiomyopathy and hearing loss
17915;Autosomal recessive spastic paraplegia type 32
17916;Autosomal recessive spastic paraplegia type 35
293;Treacher-Collins syndrome
294;Unverricht-Lundborg disease
297;Cleft lip with or without cleft palate
299;Cornelia de Lange syndrome
301;Holoprosencephaly
303;Albinism-deafness syndrome
343;22q11.2 microduplication syndrome
17815;Cernunnos-XLF deficiency
341;Distal trisomy 18q
340;Trisomy 18p
339;Trisomy 18
17810;CLAPO syndrome
338;Distal trisomy 15q
337;Trisomy 13
17821;Good syndrome
17818;Combined immunodeficiency due to CRAC channel dysfunction
346;Trisomy 9p
17819;Alymphoid cystic thymic dysgenesis
17798;Primary peritoneal carcinoma
17797;Peritoneal cystic mesothelioma
324;46,XY disorder of sex development due to 5-alpha-reductase 2 deficiency
325;Triose phosphate-isomerase deficiency
17796;Malignant peritoneal mesothelioma
323;Darier disease
17793;Heart-hand syndrome, Slovenian type
321;Coffin-Siris syndrome
17792;Childhood disintegrative disorder
334;Distal monosomy 9p
335;47,XYY syndrome
332;Distal monosomy 7q36
330;Monosomy 18q
328;Monosomy 18p
373;Osteogenesis imperfecta-retinopathy-seizures-intellectual disability syndrome
372;Congenital osteogenesis imperfecta-microcephaly-cataracts syndrome
369;Isolated complex I deficiency
370;Large congenital melanocytic nevus
381;Refsum disease
378;Pentasomy X
17829;T-B+ severe combined immunodeficiency due to IL-7Ralpha deficiency
357;Glycogen storage disease due to phosphorylase kinase deficiency
17831;T-B+ severe combined immunodeficiency due to CD3delta/CD3epsilon/CD3zeta
358;Neurodegeneration with brain iron accumulation
353;Progressive epilepsy-intellectual disability syndrome, Finnish type
355;Galactosemia
364;X-linked centronuclear myopathy
367;Bethlem myopathy
17833;Autosomal recessive centronuclear myopathy
360;Incontinentia pigmenti
361;Tetrasomy 18p
17834;Autosomal dominant centronuclear myopathy
410;Neonatal adrenoleukodystrophy
411;Alkaptonuria
408;Acromegaly
415;Blue rubber bleb nevus
412;Alopecia antibody deficiency
413;Lethal hemolytic anemia-genital anomalies syndrome
402;Succinic semialdehyde dehydrogenase deficiency
403;Mevalonic aciduria
407;Nager syndrome
404;Hereditary orotic aciduria
405;Acrocallosal syndrome
394;Aarskog-Scott syndrome
392;Nail-patella syndrome
399;Isovaleric acidemia
387;Smith-Magenis syndrome
384;Retinitis pigmentosa-intellectual disability-deafness-hypogonadism syndrome
390;Tetrasomy X
443;Cleidocranial dysplasia
444;Autosomal dominant coarctation of aorta
17788;Familial scaphocephaly syndrome, McGillivray type
445;Cohen syndrome
446;Cooper-Jabs syndrome
432;Chronic mucocutaneous candidiasis
433;Congenital cataract-hypertrophic cardiomyopathy-mitochondrial myopathy syndrome
17776;Hereditary cryohydrocytosis with reduced stomatin
17779;Sudden infant death-dysgenesis of the testes syndrome
435;Charlie M syndrome
437;Cholestasis-lymphedema syndrome
17768;Axial spondylometaphyseal dysplasia
424;Arthrogryposis-oculomotor limitation-electroretinal anomalies syndrome
17770;Spondylometaphyseal dysplasia, A4 type
17771;46,XY disorder of sex development-adrenal insufficiency due to CYP11A1 deficiency
17772;46,XY gonadal dysgenesis-motor and sensory neuropathy syndrome
429;Blackfan-Diamond anemia
431;Caffey disease
17774;H syndrome
17775;Native American myopathy
430;Bloom syndrome
417;Argininemia
416;Aniridia-cerebellar ataxia-intellectual disability syndrome
418;Arrhinia-choanal atresia-microphthalmia syndrome
421;Digitotalar dysmorphism
420;Neurogenic arthrogryposis multiplex congenita
17765;Congenital neuronal ceroid lipofuscinosis
17766;Late infantile neuronal ceroid lipofuscinosis
422;Sheldon-Hall syndrome
478;Postaxial acrofacial dysostosis
476;XY type gonadal dysgenesis-associated anomalies syndrome
477;Dyskeratosis congenita
474;Familial dysautonomia
472;Dubowitz syndrome
473;Dyggve-Melchior-Clausen disease
470;Diencephalic syndrome
468;Encephalopathy due to sulfite oxidase deficiency
467;Pyruvate dehydrogenase deficiency
463;Isolated glycerol kinase deficiency
462;Multiple carboxylase deficiency
461;Carbamoyl-phosphate synthetase 1 deficiency
459;Argininosuccinic aciduria
458;Adenosine monophosphate deaminase deficiency
457;Dihydropteridine reductase deficiency
456;Isolated Dandy-Walker malformation
454;Cutis marmorata telangiectatica congenita
450;Craniosynostosis-Dandy-Walker malformation-hydrocephalus syndrome
448;Corpus callosum agenesis-neuronopathy syndrome
508;Neonatal severe primary hyperparathyroidism
510;Hypogonadism-mitral valve prolapse-intellectual disability syndrome
511;Hypoplastic left heart syndrome
504;Neonatal hemochromatosis
505;Hennekam-Beemer syndrome
506;Congenital diaphragmatic hernia
507;Congenital hydrocephalus
502;Hartnup disease
503;Hawkinsinuria
498;Galactosialidosis
499;Goldenhar syndrome
493;Congenital fiber-type disproportion myopathy
494;Freeman-Sheldon syndrome
489;Frontal encephalocele
488;Fetal parvovirus syndrome
491;Mitochondrial DNA depletion syndrome, encephalomyopathic form with methylmalonic aciduria
485;Ebstein malformation
484;Dopa-responsive dystonia
487;Fetal alcohol syndrome
486;Isolated ectopia lentis
551;Omphalocele
548;Neuroblastoma
549;Linear nevus sebaceus syndrome
546;Metatropic dysplasia
547;Thanatophoric dysplasia
545;Proximal myotonic myopathy
558;Pendred syndrome
556;Juvenile Paget disease
557;Tetrasomy 12p
555;Osteopetrosis with renal tubular acidosis
552;Horizontal gaze palsy with progressive scoliosis
553;Opsismodysplasia
567;Peroxisomal acyl-CoA oxidase deficiency
566;Prune belly syndrome
565;Proteus syndrome
564;Familial spontaneous pneumothorax
563;Neuralgic amyotrophy
562;Isolated Pierre Robin syndrome
560;Catecholamine-producing tumor
575;Congenital rubella syndrome
574;Costello syndrome
571;Pycnodysostosis
570;Disorder of sex development-intellectual disability syndrome
516;Congenital short bowel syndrome
517;Hereditary fructose intolerance
518;Jacobsen syndrome
519;Joubert syndrome with oculorenal defect
512;Foveal hypoplasia-presenile cataract syndrome
515;Multiple intestinal atresia
526;Trichorhinophalangeal syndrome type 2
18126;Polyembryoma
527;Larsen-like osseous dysplasia-short stature syndrome
520;KID syndrome
521;Isolated cloverleaf skull syndrome
523;Angioosteohypertrophic syndrome
532;Leigh syndrome
535;Congenital macroglossia
534;Congenital pulmonary lymphangiectasia
529;Congenital laryngomalacia
531;Laurence-Moon syndrome
530;Congenital laryngeal web
541;MASA syndrome
540;Marshall syndrome
543;Muir-Torre syndrome
542;Moebius syndrome
537;Short rib-polydactyly syndrome
536;Central bilateral macrogyria
538;Congenital pulmonary airway malformation
610;Potassium-aggravated myotonia
18083;Obesity due to leptin receptor gene deficiency
611;Phenylketonuria
612;Classical Ehlers-Danlos syndrome
631;Early-onset autosomal dominant Alzheimer disease
630;Alport syndrome
629;X-linked recessive ocular albinism
635;Familial isolated dilated cardiomyopathy
634;Fanconi anemia
633;Proximal spinal muscular atrophy
632;Amyloidosis
638;Cockayne syndrome
637;Charcot-Marie-Tooth disease/Hereditary motor and sensory neuropathy
578;Free sialic acid storage disease
579;Familial Scheuermann disease
580;Schizencephaly
582;Multiple sclerosis-ichthyosis-factor VIII deficiency syndrome
584;Silver-Russell syndrome
585;Sirenomelia
586;Sjögren-Larsson syndrome
588;Sotos syndrome
589;Infantile spasms-broad thumbs syndrome
590;Stormorken-Sjaastad-Langslet syndrome
591;Sturge-Weber syndrome
595;Thrombocytopenia-absent radius syndrome
597;Tracheal agenesis
596;Congenital toxoplasmosis
603;VACTERL/VATER association
602;Congenital varicella syndrome
605;Cerebrotendinous xanthomatosis
604;Weaver syndrome
606;Chondrodysplasia-disorder of sex development syndrome
18030;Infant botulism
18031;Intestinal botulism
18029;Wound botulism
18027;Hereditary myopathy with early respiratory failure
18025;Distal myopathy with anterior tibial onset
678;Autosomal recessive limb-girdle muscular dystrophy type 2D
18021;Osteosclerosis-developmental delay-craniosynostosis syndrome
676;Fructose-1,6-bisphosphatase deficiency
673;Alpha-N-acetylgalactosaminidase deficiency
703;Behçet disease
700;Polymyositis
701;Dermatomyositis
698;Multiminicore myopathy
697;Sporadic Creutzfeldt-Jakob disease
18037;Perry syndrome
690;Inclusion body myositis
18032;Adult intestinal botulism
653;Mucopolysaccharidosis type 3
655;Hereditary spastic paraplegia
654;Osteogenesis imperfecta
17999;Central diabetes insipidus
649;Malignant hyperthermia of anesthesia
648;Congenital adrenal hyperplasia
650;Neuronal ceroid lipofuscinosis
645;Glycogen storage disease due to glucose-6-phosphatase deficiency
644;Gaucher disease
647;Hirschsprung disease
641;Epidermolysis bullosa simplex
643;GM1 gangliosidosis
18015;Åland Islands eye disease
664;Oculopharyngeal muscular dystrophy
18009;8q22.1 microdeletion syndrome
665;Primary ciliary dyskinesia
18008;Antenatal multiminicore disease with arthrogryposis multiplex congenita
667;Myasthenia gravis
660;Tuberous sclerosis complex
662;Usher syndrome
18007;Moderate multiminicore disease with hand involvement
663;Waardenburg syndrome
656;Pelizaeus-Merzbacher disease
657;Porphyria
658;Familial long QT syndrome
659;Retinitis pigmentosa
747;Anti-glomerular basement membrane disease
746;Osteochondritis of tarsal/metatarsal bone
745;Eosinophilic granulomatosis with polyangiitis
744;Allergic bronchopulmonary aspergillosis
751;Locked-in syndrome
750;Leptospirosis
749;Immunoglobulin A vasculitis
739;Glycogen storage disease due to phosphoglycerate kinase 1 deficiency
741;Leydig cell hypoplasia
763;Adenylosuccinate lyase deficiency
760;Congenital hypothyroidism
761;X-linked adrenoleukodystrophy
766;Sialuria
755;Eosinophilic fasciitis
753;Microscopic polyangiitis
759;Granulomatosis with polyangiitis
17928;Parkinsonian-pyramidal syndrome
713;Beta-ketothiolase deficiency
17930;Microcephaly-polymicrogyria-corpus callosum agenesis syndrome
17933;Amish infantile epilepsy syndrome
17934;Cutis laxa-Marfanoid syndrome
708;Maple syrup urine disease
711;Glutathione synthetase deficiency
710;Methylmalonic acidemia with homocystinuria
17945;Autosomal dominant spastic paraplegia type 42
17944;Intellectual disability-cataracts-kyphosis syndrome
17946;Spondyloepimetaphyseal dysplasia, aggrecan type
731;Gastroschisis
17949;Cap myopathy
732;Autosomal recessive primary microcephaly
735;Sarcoidosis
720;Juvenile idiopathic arthritis
17936;6q16 microdeletion syndrome
722;Atresia of small intestine
17939;Blindness-scoliosis-arachnodactyly syndrome
17938;Craniosynostosis-hydrocephalus-Arnold-Chiari malformation type I-radioulnar synostosis syndrome
723;Larynx atresia
724;Esophageal atresia
17941;MEDNIK syndrome
820;Tetralogy of Fallot
822;Autosomal dominant severe congenital neutropenia
817;Tricuspid atresia
816;Autosomal recessive spastic ataxia of Charlevoix-Saguenay
831;Evans syndrome
825;Early-onset cerebellar ataxia with retained tendon reflexes
824;Stickler syndrome
804;Congenital herpes simplex virus infection
805;Dubin-Johnson syndrome
806;Takayasu arteritis
18406;EAST syndrome
802;Congenital lobar emphysema
812;Wolfram syndrome
813;Cryptosporidiosis
815;Legionellosis
808;Pemphigus vulgaris
18408;Adult-onset dystonia-parkinsonism
789;Whipple disease
788;Kawasaki disease
18386;Familial multiple lipomatosis
784;Immune thrombocytopenic purpura
18385;Infantile digital fibromatosis
798;Congenital respiratory-biliary fistula
18399;15q13.3 microdeletion syndrome
18396;Tetragametic chimerism
796;Bernard-Soulier syndrome
795;Congenital atransferrinemia
18394;Isolated cleft lip
18395;Cleft lip/palate
18392;Congenital isolated ACTH deficiency
18393;Late-onset isolated ACTH deficiency
18374;Cushing syndrome due to macronodular adrenal hyperplasia
775;Adenine phosphoribosyltransferase deficiency
773;Sarcosinemia
770;Hyperornithinemia-hyperammonemia-homocitrullinuria syndrome
771;6-pyruvoyl-tetrahydropterin synthase deficiency
782;Ménétrier disease
783;Primary sclerosing cholangitis
18382;Ledderhose disease
18380;Nelson syndrome
779;Atypical hemolytic uremic syndrome
18376;Primary pigmented nodular adrenocortical disease
880;Pyridoxine-dependent epilepsy
882;Rotor syndrome
885;Lennox-Gastaut syndrome
887;Systemic mastocytosis
889;Early infantile epileptic encephalopathy
888;Tay-Sachs disease
891;Myoclonic-astastic epilepsy
890;Early myoclonic encephalopathy
894;West syndrome
866;Rabies
867;American trypanosomiasis
870;Autosomal recessive limb-girdle muscular dystrophy type 2A
872;Mucopolysaccharidosis type 4
873;Autoimmune hepatitis
874;Primary biliary cholangitis
876;Giant cell arteritis
877;Chronic inflammatory demyelinating polyneuropathy
878;Multiple symmetric lipomatosis
879;Dermatitis herpetiformis
849;Stiff person syndrome and related disorders
848;Juvenile polyposis syndrome
854;Budd-Chiari syndrome
853;Niemann-Pick disease type C
852;Nephroblastoma
858;Osteochondritis dissecans
863;Tuberculosis
861;Botulism
860;Pityriasis rubra pilaris
833;Eosinophilic gastroenteritis
18311;Neutrophil immunodeficiency syndrome
839;Autosomal dominant hyper-IgE syndrome
837;Hydranencephaly
18313;Pyogenic bacterial infections due to MyD88 deficiency
841;Legg-Calvé-Perthes disease
846;Progressive supranuclear palsy
844;Pancreatoblastoma
18303;Severe combined immunodeficiency
959;Waardenburg-Shah syndrome
954;Seckel syndrome
946;Caudal regression sequence
937;Hereditary chronic pancreatitis
936;Giant axonal neuropathy
938;Netherton syndrome
933;Campomelic dysplasia
932;Young-onset Parkinson disease
935;Hereditary sensory and autonomic neuropathy type 4
931;Nance-Horan syndrome
930;Neurofibromatosis-Noonan syndrome
927;Liddle syndrome
924;LCAT deficiency
925;Familial hypoaldosteronism
923;Congenital stationary night blindness
920;Familial Mediterranean fever
921;Choroideremia
918;Androgen insensitivity syndrome
919;Spondyloepiphyseal dysplasia and spondyloepimetaphyseal dysplasia
916;Congenital factor VII deficiency
912;Simpson-Golabi-Behmel syndrome
913;Familial hyperaldosteronism type I
906;Multiple endocrine neoplasia type 2
901;Carnitine palmitoyltransferase II deficiency
900;Alpha-thalassemia-X-linked intellectual disability syndrome
896;Ring chromosome 22 syndrome
1018;ICF syndrome
1022;Joubert syndrome
1023;Holt-Oram syndrome
1009;Bazex-Dupré-Christol syndrome
1011;46,XX gonadal dysgenesis
1001;CADASIL
1000;Congenital bilateral absence of vas deferens
1007;Berardinelli-Seip congenital lipodystrophy
993;Severe combined immunodeficiency due to DCLRE1C deficiency
18210;Pulmonary arterial hypertension
996;Cherubism
998;Chylomicron retention disease
990;Benign familial neonatal epilepsy
991;Hidrotic ectodermal dysplasia
988;Uveal coloboma-cleft lip and palate-intellectual disability
18198;MYH9-related disease
971;Roberts syndrome
968;Peters plus syndrome
972;X-linked intellectual disability with marfanoid habitus
18176;Growth hormone insensitivity syndrome
960;Werner syndrome
967;Van der Woude syndrome
965;Familial progressive cardiac conduction defect
1096;Distal monosomy 17q
1092;Distal monosomy 13q
1090;Monosomy 13q14
1115;3q13 microdeletion syndrome
1114;Distal monosomy 3p
1132;Xp22.3 microdeletion syndrome
1150;Trisomy 12p
1149;Non-distal trisomy 10q
1032;Noonan syndrome with multiple lentigines
1033;Leishmaniasis
1039;Duane retraction syndrome
1025;Congenital isolated hyperinsulinism
1026;Conotruncal heart malformations
1030;Meningioma
1031;Familial or sporadic hemiplegic migraine
1052;Cleft palate
1043;Léri-Weill dyschondrosteosis
1042;Autosomal recessive spondylocostal dysostosis
1045;Gitelman syndrome
1044;46,XY complete gonadal dysgenesis
1046;Fraser syndrome
1070;Heart defects-limb shortening syndrome
1071;Carey-Fineman-Ziter syndrome
1058;Isolated anorectal malformation
1059;Barth syndrome
1056;48,XXYY syndrome
1062;C syndrome
1082;Currarino syndrome
1081;Ring chromosome 8 syndrome
1080;Ring chromosome 6 syndrome
1086;Non-distal monosomy 10q
1085;Distal monosomy 10p
1075;Ring chromosome 1 syndrome
1073;Progressive familial intrahepatic cholestasis
1079;Ring chromosome 4 syndrome
1077;Ring chromosome 12 syndrome
1076;Ring chromosome 10 syndrome
1223;Nakajo-Nishimura syndrome
1222;Familial multiple nevi flammei
1217;Myopathy-growth delay-intellectual disability-hypospadias syndrome
1228;Duplication/inversion 15q11
1231;Trisomy X
1230;Tetrasomy 9p
1225;Familial male-limited precocious puberty
1227;Tetraploidy
1226;Spina bifida-hypospadias syndrome
1232;Triploidy
1233;Mosaic trisomy 1
1235;Mosaic trisomy 15
1244;Aase-Smith syndrome
1247;Ablepharon macrostomia syndrome
1242;3C syndrome
1255;Acheiropodia
1254;Achalasia-microcephaly syndrome
1253;Triple A syndrome
1251;Insulin-resistance syndrome type A
1249;Familial nasal acilia
1248;Abruzzo-Erickson syndrome
1263;Vitamin B12-unresponsive methylmalonic acidemia
1260;3-hydroxyisobutyric aciduria
1259;Oxoglutaric aciduria
1258;Short-limb skeletal dysplasia with severe combined immunodeficiency
1256;Achondrogenesis
1270;Peripheral dysostosis
1268;Acrodermatitis enteropathica
1269;Acrodysostosis
1267;Acrocraniofacial dysostosis
1264;Acalvaria
1265;Acrocephalosyndactyly
1278;Acropectorovertebral dysplasia
1279;Acro-renal-mandibular syndrome
1276;Acroosteolysis dominant type
1272;Acrofacial dysostosis, Weyers type
1153;Non-distal trisomy 13q
1154;Mosaic trisomy 14
1156;Distal trisomy 14q
1160;17p11.2 microduplication syndrome
1174;Trisomy 4p
1178;Trisomy 5p
1181;Distal trisomy 6p
1186;Trisomy 8q
1190;Trisomy Xq28
1195;Autosomal recessive limb-girdle muscular dystrophy type 2H
1193;Oculogastrointestinal muscular dystrophy
1199;Epilepsy-microcephaly-skeletal dysplasia syndrome
1198;Amelocerebrohypohidrotic syndrome
1201;Epilepsy-telangiectasia syndrome
1206;Griscelli syndrome
1209;Familial visceral myopathy
1215;Carnitine palmitoyl transferase 1A deficiency
1212;Mitochondrial myopathy-lactic acidosis-deafness syndrome
1213;Mitochondrial myopathy and sideroblastic anemia
1372;Thumb stiffness-brachydactyly-intellectual disability syndrome
1371;Dental ankylosis
1368;Ankyloblepharon filiforme adnatum-imperforate anus syndrome
1366;Ankyloblepharon filiforme adnatum-cleft palate syndrome
1365;Ankyloblepharon-ectodermal defects-cleft lip/palate syndrome
1364;Aniridia-absent patella syndrome
1363;Aniridia-intellectual disability syndrome
1362;Aniridia-ptosis-intellectual disability-familial obesity syndrome
1360;Aniridia-renal agenesis-psychomotor retardation syndrome
1359;Hereditary neurocutaneous malformation
1352;Vein of Galen aneurysmal malformation
1353;Fetal left ventricular aneurysm
1351;Mosaic variegated aneuploidy syndrome
1346;Metaphyseal anadysplasia
1344;Arthrogryposis multiplex congenita
1400;Lung agenesis-heart defect-thumb anomalies syndrome
1402;Ulnar hypoplasia-split foot syndrome
1397;Aplasia cutis congenita-intestinal lymphangiectasia syndrome
1399;Fibular aplasia-ectrodactyly syndrome
1398;Aplasia cutis-myopia syndrome
1392;Aortic arch anomaly-facial dysmorphism-intellectual disability syndrome
1395;Aphalangy-syndactyly-microcephaly syndrome
1394;Aphalangy-hemivertebrae-urogenital-intestinal dysgenesis syndrome
1388;Microphthalmia with limb anomalies
1391;Antley-Bixler syndrome
1387;Anophthalmia plus syndrome
1380;Anonychia-microcephaly syndrome
1306;PAGOD syndrome
1305;Agnathia-holoprosencephaly-situs inversus syndrome
1304;Hypoglossia-hypodactyly syndrome
1310;Fetal akinesia deformation sequence
1309;Aicardi-Goutières syndrome
1299;Internal carotid agenesis
1297;ADULT syndrome
1296;Adrenomyodystrophy
1303;Tibial hemimelia-polysyndactyly-triphalangeal thumb syndrome
1300;Testicular regression syndrome
1290;Hereditary sensory and autonomic neuropathy type 2
1291;Acrorenal syndrome
1288;Acromesomelic dysplasia, Maroteaux type
1289;Acromicric dysplasia
1294;Adams-Oliver syndrome
1292;Hereditary continuous muscle fiber activity
1293;Congenital absence/hypoplasia of fingers excluding thumb, unilateral
1280;Acro-renal-ocular syndrome
1287;Acromesomelic dysplasia, Hunter-Thompson type
1284;Acromegaloid facial appearance syndrome
1285;Hypertrichosis-acromegaloid facial appearance syndrome
16888;Carney triad
16889;Congenital panfollicular nevus
1336;Ameloonychohypohidrotic syndrome
1339;Enamel-renal syndrome
16893;Perioral myoclonia with absences
1342;Beta-mercaptolactate cysteine disulfiduria
16895;Multicentric reticulohistiocytosis
1329;Amaurosis-hypertrichosis syndrome
1328;Alström syndrome
16886;Drug rash with eosinophilia and systemic symptoms
1335;Autosomal recessive amelia
16887;Encephalopathy due to prosaposin deficiency
1320;Alopecia-epilepsy-pyorrhea-intellectual disability syndrome
1321;Alopecia universalis
1323;Autosomal dominant palmoplantar keratoderma and congenital alopecia
1327;Alopecia-intellectual disability-hypergonadotropic hypogonadism syndrome
1313;2q37 microdeletion syndrome
1315;Allan-Herndon-Dudley syndrome
1316;Scalp defects-postaxial polydactyly syndrome
1318;Alopecia-contractures-dwarfism-intellectual disability syndrome
1494;Ascher syndrome
1493;Blepharonasofacial malformation syndrome
1490;Maxillonasal dysplasia
1502;Borjeson-Forssman-Lehmann syndrome
1503;Tricho-retino-dento-digital syndrome
1500;Böök syndrome
1501;Boomerang dysplasia
1498;Blepharoptosis-myopia-ectopia lentis syndrome
1499;Bonnemann-Meinecke-Reich syndrome
1478;Bartsocas-Papas syndrome
1476;Barber-Say syndrome
1474;Congenital intrauterine infection-like syndrome
1473;Bannayan-Riley-Ruvalcaba syndrome
1472;Banki syndrome
1487;Bencze syndrome
1486;Metaphyseal acroscyphodysplasia
1483;Beemer-Ertbruggen syndrome
1482;Auriculoosteodysplasia
