country,year,suicides_no,population,suicides/100k pop,HDI for year,gdp_for_year ($),gdp_per_capita ($),Id
Albania,1998,26,240400,10.82,,2.707.123.772,899,112
Albania,1998,29,388200,7.47,,2.707.123.772,899,113
Albania,1998,9,183800,4.9,,2.707.123.772,899,114
Albania,1998,10,275300,3.63,,2.707.123.772,899,115
Albania,1998,6,188200,3.19,,2.707.123.772,899,116
Albania,1998,9,372100,2.42,,2.707.123.772,899,117
Albania,1998,2,388400,0.51,,2.707.123.772,899,118
Albania,1998,1,363800,0.27,,2.707.123.772,899,119
Albania,1998,0,42300,0,,2.707.123.772,899,120
Albania,1999,3,25900,11.58,,3.414.760.915,1127,121
Albania,1999,24,250600,9.58,,3.414.760.915,1127,122
Albania,1999,4,42400,9.43,,3.414.760.915,1127,123
Albania,1999,31,391100,7.93,,3.414.760.915,1127,124
Albania,1999,19,242300,7.84,,3.414.760.915,1127,125
Albania,1999,14,185200,7.56,,3.414.760.915,1127,126
Albania,1999,19,296800,6.4,,3.414.760.915,1127,127
Albania,1999,13,276500,4.7,,3.414.760.915,1127,128
Albania,1999,6,188800,3.18,,3.414.760.915,1127,129
Albania,1999,5,373600,1.34,,3.414.760.915,1127,130
Albania,1999,1,365200,0.27,,3.414.760.915,1127,131
Albania,1999,0,391300,0,,3.414.760.915,1127,132
Albania,2000,17,232000,7.33,656,3.632.043.908,1299,133
Albania,2000,10,177400,5.64,656,3.632.043.908,1299,134
Albania,2000,2,37800,5.29,656,3.632.043.908,1299,135
Albania,2000,1,24900,4.02,656,3.632.043.908,1299,136
Albania,2000,6,263900,2.27,656,3.632.043.908,1299,137
Albania,2000,5,240000,2.08,656,3.632.043.908,1299,138
Albania,2000,5,332200,1.51,656,3.632.043.908,1299,139
Albania,2000,3,245800,1.22,656,3.632.043.908,1299,140
Albania,2000,4,374700,1.07,656,3.632.043.908,1299,141
Albania,2000,1,374900,0.27,656,3.632.043.908,1299,142
Albania,2000,0,324700,0,656,3.632.043.908,1299,143
Albania,2000,0,168000,0,656,3.632.043.908,1299,144
Albania,2001,22,206484,10.65,,4.060.758.804,1451,145
Albania,2001,34,378826,8.98,,4.060.758.804,1451,146
Albania,2001,11,196670,5.59,,4.060.758.804,1451,147
Albania,2001,2,47254,4.23,,4.060.758.804,1451,148
Albania,2001,10,256039,3.91,,4.060.758.804,1451,149
Albania,2001,9,271359,3.32,,4.060.758.804,1451,150
Albania,2001,12,370191,3.24,,4.060.758.804,1451,151
Albania,2001,1,31044,3.22,,4.060.758.804,1451,152
Albania,2001,6,189799,3.16,,4.060.758.804,1451,153
Albania,2001,6,321556,1.87,,4.060.758.804,1451,154
Albania,2001,4,222771,1.8,,4.060.758.804,1451,155
Albania,2001,2,307356,0.65,,4.060.758.804,1451,156
Albania,2002,4,31007,12.9,,4.435.078.648,1573,157
Albania,2002,23,206286,11.15,,4.435.078.648,1573,158
Albania,2002,35,382139,9.16,,4.435.078.648,1573,159
Albania,2002,13,198130,6.56,,4.435.078.648,1573,160
Albania,2002,15,263067,5.7,,4.435.078.648,1573,161
Albania,2002,14,275970,5.07,,4.435.078.648,1573,162
Albania,2002,15,375113,4,,4.435.078.648,1573,163
Albania,2002,7,223685,3.13,,4.435.078.648,1573,164
Albania,2002,1,47407,2.11,,4.435.078.648,1573,165
Albania,2002,4,191712,2.09,,4.435.078.648,1573,166
Albania,2002,1,304850,0.33,,4.435.078.648,1573,167
Albania,2002,1,319473,0.31,,4.435.078.648,1573,168
Albania,2003,6,49088,12.22,,5.746.945.913,2021,169
Albania,2003,16,201520,7.94,,5.746.945.913,2021,170
Albania,2003,28,386196,7.25,,5.746.945.913,2021,171
Albania,2003,15,273235,5.49,,5.746.945.913,2021,172
Albania,2003,14,283709,4.93,,5.746.945.913,2021,173
Albania,2003,9,195699,4.6,,5.746.945.913,2021,174
Albania,2003,9,205433,4.38,,5.746.945.913,2021,175
Albania,2003,9,222941,4.04,,5.746.945.913,2021,176
Albania,2003,13,381760,3.41,,5.746.945.913,2021,177
Albania,2003,1,32667,3.06,,5.746.945.913,2021,178
Albania,2003,4,313204,1.28,,5.746.945.913,2021,179
Albania,2003,0,298477,0,,5.746.945.913,2021,180
Albania,2004,4,35526,11.26,,7.314.865.176,2544,181
Albania,2004,39,391767,9.95,,7.314.865.176,2544,182
Albania,2004,16,203938,7.85,,7.314.865.176,2544,183
Albania,2004,20,292268,6.84,,7.314.865.176,2544,184
Albania,2004,19,286768,6.63,,7.314.865.176,2544,185
Albania,2004,3,50970,5.89,,7.314.865.176,2544,186
Albania,2004,11,222389,4.95,,7.314.865.176,2544,187
Albania,2004,10,207202,4.83,,7.314.865.176,2544,188
Albania,2004,17,391436,4.34,,7.314.865.176,2544,189
Albania,2004,3,203841,1.47,,7.314.865.176,2544,190
Albania,2004,3,286705,1.05,,7.314.865.176,2544,191
Albania,2004,1,302181,0.33,,7.314.865.176,2544,192
Albania,2005,0,281922,0,695,8.158.548.717,2931,193
Albania,2005,0,190745,0,695,8.158.548.717,2931,194
Albania,2005,0,386513,0,695,8.158.548.717,2931,195
Albania,2005,0,276559,0,695,8.158.548.717,2931,196
Albania,2005,0,210998,0,695,8.158.548.717,2931,197
Albania,2005,0,53191,0,695,8.158.548.717,2931,198
Albania,2005,0,281675,0,695,8.158.548.717,2931,199
Albania,2005,0,177519,0,695,8.158.548.717,2931,200
Albania,2005,0,380242,0,695,8.158.548.717,2931,201
Albania,2005,0,291367,0,695,8.158.548.717,2931,202
Albania,2005,0,214118,0,695,8.158.548.717,2931,203
Albania,2005,0,38471,0,695,8.158.548.717,2931,204
Albania,2006,0,283138,0,,8.992.642.349,3235,205
Albania,2006,0,186391,0,,8.992.642.349,3235,206
Albania,2006,0,388746,0,,8.992.642.349,3235,207
Albania,2006,0,267316,0,,8.992.642.349,3235,208
Albania,2006,0,215907,0,,8.992.642.349,3235,209
Albania,2006,0,56011,0,,8.992.642.349,3235,210
Albania,2006,0,286679,0,,8.992.642.349,3235,211
Albania,2006,0,174092,0,,8.992.642.349,3235,212
Albania,2006,0,379076,0,,8.992.642.349,3235,213
Albania,2006,0,282678,0,,8.992.642.349,3235,214
Albania,2006,0,219360,0,,8.992.642.349,3235,215
Albania,2006,0,40782,0,,8.992.642.349,3235,216
Albania,2007,8,42366,18.88,,10.701.011.897,3863,217
Albania,2007,29,378626,7.66,,10.701.011.897,3863,218
Albania,2007,14,224160,6.25,,10.701.011.897,3863,219
Albania,2007,3,57404,5.23,,10.701.011.897,3863,220
Albania,2007,9,172494,5.22,,10.701.011.897,3863,221
Albania,2007,13,281080,4.63,,10.701.011.897,3863,222
Albania,2007,13,288349,4.51,,10.701.011.897,3863,223
Albania,2007,8,183629,4.36,,10.701.011.897,3863,224
Albania,2007,9,221120,4.07,,10.701.011.897,3863,225
Albania,2007,14,391811,3.57,,10.701.011.897,3863,226
Albania,2007,4,272497,1.47,,10.701.011.897,3863,227
Albania,2007,0,256808,0,,10.701.011.897,3863,228
Albania,2008,21,172855,12.15,,12.881.352.688,4672,229
Albania,2008,37,377119,9.81,,12.881.352.688,4672,230
Albania,2008,21,228672,9.18,,12.881.352.688,4672,231
Albania,2008,5,59369,8.42,,12.881.352.688,4672,232
Albania,2008,20,276073,7.24,,12.881.352.688,4672,233
Albania,2008,9,182663,4.93,,12.881.352.688,4672,234
Albania,2008,19,393832,4.82,,12.881.352.688,4672,235
Albania,2008,2,44574,4.49,,12.881.352.688,4672,236
Albania,2008,11,286702,3.84,,12.881.352.688,4672,237
Albania,2008,7,226448,3.09,,12.881.352.688,4672,238
Albania,2008,7,262464,2.67,,12.881.352.688,4672,239
Albania,2008,1,246288,0.41,,12.881.352.688,4672,240
Albania,2009,0,270003,0,,12.044.212.904,4387,241
Albania,2009,0,182712,0,,12.044.212.904,4387,242
Albania,2009,0,394286,0,,12.044.212.904,4387,243
Albania,2009,0,236174,0,,12.044.212.904,4387,244
Albania,2009,0,233302,0,,12.044.212.904,4387,245
Albania,2009,0,61582,0,,12.044.212.904,4387,246
Albania,2009,0,283448,0,,12.044.212.904,4387,247
Albania,2009,0,174955,0,,12.044.212.904,4387,248
Albania,2009,0,374365,0,,12.044.212.904,4387,249
Albania,2009,0,253007,0,,12.044.212.904,4387,250
Albania,2009,0,234570,0,,12.044.212.904,4387,251
Albania,2009,0,47331,0,,12.044.212.904,4387,252
Albania,2010,20,241852,8.27,722,11.926.953.259,4359,253
Albania,2010,20,371611,5.38,722,11.926.953.259,4359,254
Albania,2010,9,179720,5.01,722,11.926.953.259,4359,255
Albania,2010,2,50767,3.94,722,11.926.953.259,4359,256
Albania,2010,10,279508,3.58,722,11.926.953.259,4359,257
Albania,2010,6,183579,3.27,722,11.926.953.259,4359,258
Albania,2010,2,64415,3.1,722,11.926.953.259,4359,259
Albania,2010,12,394593,3.04,722,11.926.953.259,4359,260
Albania,2010,7,241491,2.9,722,11.926.953.259,4359,261
Albania,2010,6,263581,2.28,722,11.926.953.259,4359,262
Albania,2010,2,223969,0.89,722,11.926.953.259,4359,263
Albania,2010,0,240939,0,722,11.926.953.259,4359,264
Antigua and Barbuda,1985,0,7709,0,,240.923.926,3850,265
Antigua and Barbuda,1985,0,6344,0,,240.923.926,3850,266
Antigua and Barbuda,1985,0,6173,0,,240.923.926,3850,267
Antigua and Barbuda,1985,0,7339,0,,240.923.926,3850,268
Antigua and Barbuda,1985,0,3778,0,,240.923.926,3850,269
Antigua and Barbuda,1985,0,949,0,,240.923.926,3850,270
Antigua and Barbuda,1985,0,7667,0,,240.923.926,3850,271
Antigua and Barbuda,1985,0,6194,0,,240.923.926,3850,272
Antigua and Barbuda,1985,0,5970,0,,240.923.926,3850,273
Antigua and Barbuda,1985,0,7304,0,,240.923.926,3850,274
Antigua and Barbuda,1985,0,2723,0,,240.923.926,3850,275
Antigua and Barbuda,1985,0,424,0,,240.923.926,3850,276
Antigua and Barbuda,1986,0,7668,0,,290.440.148,4740,277
Antigua and Barbuda,1986,0,6209,0,,290.440.148,4740,278
Antigua and Barbuda,1986,0,6101,0,,290.440.148,4740,279
Antigua and Barbuda,1986,0,6907,0,,290.440.148,4740,280
Antigua and Barbuda,1986,0,3764,0,,290.440.148,4740,281
Antigua and Barbuda,1986,0,1014,0,,290.440.148,4740,282
Antigua and Barbuda,1986,0,7563,0,,290.440.148,4740,283
Antigua and Barbuda,1986,0,6023,0,,290.440.148,4740,284
Antigua and Barbuda,1986,0,5947,0,,290.440.148,4740,285
Antigua and Barbuda,1986,0,6827,0,,290.440.148,4740,286
Antigua and Barbuda,1986,0,2771,0,,290.440.148,4740,287
Antigua and Barbuda,1986,0,476,0,,290.440.148,4740,288
Antigua and Barbuda,1987,0,7583,0,,337.174.852,5595,289
Antigua and Barbuda,1987,0,6101,0,,337.174.852,5595,290
Antigua and Barbuda,1987,0,6059,0,,337.174.852,5595,291
Antigua and Barbuda,1987,0,6623,0,,337.174.852,5595,292
Antigua and Barbuda,1987,0,3738,0,,337.174.852,5595,293
Antigua and Barbuda,1987,0,1081,0,,337.174.852,5595,294
Antigua and Barbuda,1987,0,7421,0,,337.174.852,5595,295
Antigua and Barbuda,1987,0,5893,0,,337.174.852,5595,296
Antigua and Barbuda,1987,0,5927,0,,337.174.852,5595,297
Antigua and Barbuda,1987,0,6499,0,,337.174.852,5595,298
Antigua and Barbuda,1987,0,2798,0,,337.174.852,5595,299
Antigua and Barbuda,1987,0,538,0,,337.174.852,5595,300
Antigua and Barbuda,1988,0,7413,0,,398.637.741,6693,301
Antigua and Barbuda,1988,0,6041,0,,398.637.741,6693,302
Antigua and Barbuda,1988,0,6021,0,,398.637.741,6693,303
Antigua and Barbuda,1988,0,6527,0,,398.637.741,6693,304
Antigua and Barbuda,1988,0,3708,0,,398.637.741,6693,305
Antigua and Barbuda,1988,0,1141,0,,398.637.741,6693,306
Antigua and Barbuda,1988,0,7209,0,,398.637.741,6693,307
Antigua and Barbuda,1988,0,5826,0,,398.637.741,6693,308
Antigua and Barbuda,1988,0,5907,0,,398.637.741,6693,309
Antigua and Barbuda,1988,0,6355,0,,398.637.741,6693,310
Antigua and Barbuda,1988,0,2813,0,,398.637.741,6693,311
Antigua and Barbuda,1988,0,603,0,,398.637.741,6693,312
Antigua and Barbuda,1989,0,7152,0,,438.794.778,7407,313
Antigua and Barbuda,1989,0,6059,0,,438.794.778,7407,314
Antigua and Barbuda,1989,0,5969,0,,438.794.778,7407,315
Antigua and Barbuda,1989,0,6621,0,,438.794.778,7407,316
Antigua and Barbuda,1989,0,3696,0,,438.794.778,7407,317
Antigua and Barbuda,1989,0,1195,0,,438.794.778,7407,318
Antigua and Barbuda,1989,0,6927,0,,438.794.778,7407,319
Antigua and Barbuda,1989,0,5835,0,,438.794.778,7407,320
Antigua and Barbuda,1989,0,5862,0,,438.794.778,7407,321
Antigua and Barbuda,1989,0,6403,0,,438.794.778,7407,322
Antigua and Barbuda,1989,0,2843,0,,438.794.778,7407,323
Antigua and Barbuda,1989,0,676,0,,438.794.778,7407,324
Antigua and Barbuda,1990,1,5799,17.24,,459.469.074,7744,325
Antigua and Barbuda,1990,0,6827,0,,459.469.074,7744,326
Antigua and Barbuda,1990,0,6172,0,,459.469.074,7744,327
Antigua and Barbuda,1990,0,5895,0,,459.469.074,7744,328
Antigua and Barbuda,1990,0,6877,0,,459.469.074,7744,329
Antigua and Barbuda,1990,0,3706,0,,459.469.074,7744,330
Antigua and Barbuda,1990,0,1252,0,,459.469.074,7744,331
Antigua and Barbuda,1990,0,6598,0,,459.469.074,7744,332
Antigua and Barbuda,1990,0,5937,0,,459.469.074,7744,333
Antigua and Barbuda,1990,0,6611,0,,459.469.074,7744,334
Antigua and Barbuda,1990,0,2902,0,,459.469.074,7744,335
Antigua and Barbuda,1990,0,758,0,,459.469.074,7744,336
Antigua and Barbuda,1991,0,6595,0,,481.706.333,7976,337
Antigua and Barbuda,1991,0,6396,0,,481.706.333,7976,338
Antigua and Barbuda,1991,0,6198,0,,481.706.333,7976,339
Antigua and Barbuda,1991,0,7089,0,,481.706.333,7976,340
Antigua and Barbuda,1991,0,3665,0,,481.706.333,7976,341
Antigua and Barbuda,1991,0,1293,0,,481.706.333,7976,342
Antigua and Barbuda,1991,0,6401,0,,481.706.333,7976,343
Antigua and Barbuda,1991,0,6156,0,,481.706.333,7976,344
Antigua and Barbuda,1991,0,6122,0,,481.706.333,7976,345
Antigua and Barbuda,1991,0,6818,0,,481.706.333,7976,346
Antigua and Barbuda,1991,0,2857,0,,481.706.333,7976,347
Antigua and Barbuda,1991,0,804,0,,481.706.333,7976,348
Antigua and Barbuda,1992,0,6369,0,,499.281.148,8087,349
Antigua and Barbuda,1992,0,6650,0,,499.281.148,8087,350
Antigua and Barbuda,1992,0,6534,0,,499.281.148,8087,351
Antigua and Barbuda,1992,0,7311,0,,499.281.148,8087,352
Antigua and Barbuda,1992,0,3648,0,,499.281.148,8087,353
Antigua and Barbuda,1992,0,1339,0,,499.281.148,8087,354
Antigua and Barbuda,1992,0,6221,0,,499.281.148,8087,355
Antigua and Barbuda,1992,0,6409,0,,499.281.148,8087,356
Antigua and Barbuda,1992,0,6497,0,,499.281.148,8087,357
Antigua and Barbuda,1992,0,7059,0,,499.281.148,8087,358
Antigua and Barbuda,1992,0,2851,0,,499.281.148,8087,359
Antigua and Barbuda,1992,0,853,0,,499.281.148,8087,360
Antigua and Barbuda,1993,1,6668,15,,535.172.778,8453,361
Antigua and Barbuda,1993,0,6182,0,,535.172.778,8453,362
Antigua and Barbuda,1993,0,6914,0,,535.172.778,8453,363
Antigua and Barbuda,1993,0,6917,0,,535.172.778,8453,364
Antigua and Barbuda,1993,0,7529,0,,535.172.778,8453,365
Antigua and Barbuda,1993,0,3662,0,,535.172.778,8453,366
Antigua and Barbuda,1993,0,1386,0,,535.172.778,8453,367
Antigua and Barbuda,1993,0,6069,0,,535.172.778,8453,368
Antigua and Barbuda,1993,0,6915,0,,535.172.778,8453,369
Antigua and Barbuda,1993,0,7298,0,,535.172.778,8453,370
Antigua and Barbuda,1993,0,2879,0,,535.172.778,8453,371
Antigua and Barbuda,1993,0,896,0,,535.172.778,8453,372
Antigua and Barbuda,1994,0,6083,0,,589.429.593,9062,373
Antigua and Barbuda,1994,0,7151,0,,589.429.593,9062,374
Antigua and Barbuda,1994,0,7357,0,,589.429.593,9062,375
Antigua and Barbuda,1994,0,7722,0,,589.429.593,9062,376
Antigua and Barbuda,1994,0,3715,0,,589.429.593,9062,377
Antigua and Barbuda,1994,0,1437,0,,589.429.593,9062,378
Antigua and Barbuda,1994,0,5976,0,,589.429.593,9062,379
Antigua and Barbuda,1994,0,6886,0,,589.429.593,9062,380
Antigua and Barbuda,1994,0,7359,0,,589.429.593,9062,381
Antigua and Barbuda,1994,0,7494,0,,589.429.593,9062,382
Antigua and Barbuda,1994,0,2935,0,,589.429.593,9062,383
Antigua and Barbuda,1994,0,929,0,,589.429.593,9062,384
Antigua and Barbuda,1995,0,6099,0,,577.280.741,8636,385
Antigua and Barbuda,1995,0,7333,0,,577.280.741,8636,386
Antigua and Barbuda,1995,0,7851,0,,577.280.741,8636,387
Antigua and Barbuda,1995,0,7885,0,,577.280.741,8636,388
Antigua and Barbuda,1995,0,3808,0,,577.280.741,8636,389
Antigua and Barbuda,1995,0,1488,0,,577.280.741,8636,390
Antigua and Barbuda,1995,0,5953,0,,577.280.741,8636,391
Antigua and Barbuda,1995,0,7023,0,,577.280.741,8636,392
Antigua and Barbuda,1995,0,7809,0,,577.280.741,8636,393
Antigua and Barbuda,1995,0,7632,0,,577.280.741,8636,394
Antigua and Barbuda,1995,0,3021,0,,577.280.741,8636,395
Antigua and Barbuda,1995,0,944,0,,577.280.741,8636,396
Antigua and Barbuda,1998,0,6529,0,,727.860.593,10078,397
Antigua and Barbuda,1998,0,8332,0,,727.860.593,10078,398
Antigua and Barbuda,1998,0,9615,0,,727.860.593,10078,399
Antigua and Barbuda,1998,0,8183,0,,727.860.593,10078,400
Antigua and Barbuda,1998,0,3921,0,,727.860.593,10078,401
Antigua and Barbuda,1998,0,1476,0,,727.860.593,10078,402
Antigua and Barbuda,1998,0,5916,0,,727.860.593,10078,403
Antigua and Barbuda,1998,0,7294,0,,727.860.593,10078,404
Antigua and Barbuda,1998,0,9086,0,,727.860.593,10078,405
Antigua and Barbuda,1998,0,7706,0,,727.860.593,10078,406
Antigua and Barbuda,1998,0,3213,0,,727.860.593,10078,407
Antigua and Barbuda,1998,0,954,0,,727.860.593,10078,408
Antigua and Barbuda,1999,0,6589,0,,766.198.926,10378,409
Antigua and Barbuda,1999,0,8526,0,,766.198.926,10378,410
Antigua and Barbuda,1999,0,10311,0,,766.198.926,10378,411
Antigua and Barbuda,1999,0,8314,0,,766.198.926,10378,412
Antigua and Barbuda,1999,0,3968,0,,766.198.926,10378,413
Antigua and Barbuda,1999,0,1451,0,,766.198.926,10378,414
Antigua and Barbuda,1999,0,5845,0,,766.198.926,10378,415
Antigua and Barbuda,1999,0,7263,0,,766.198.926,10378,416
Antigua and Barbuda,1999,0,9537,0,,766.198.926,10378,417
Antigua and Barbuda,1999,0,7805,0,,766.198.926,10378,418
Antigua and Barbuda,1999,0,3276,0,,766.198.926,10378,419
Antigua and Barbuda,1999,0,947,0,,766.198.926,10378,420
Antigua and Barbuda,2000,1,3333,30,,830.158.778,11021,421
Antigua and Barbuda,2000,1,10033,9.97,,830.158.778,11021,422
Antigua and Barbuda,2000,0,6616,0,,830.158.778,11021,423
Antigua and Barbuda,2000,0,8595,0,,830.158.778,11021,424
Antigua and Barbuda,2000,0,11040,0,,830.158.778,11021,425
Antigua and Barbuda,2000,0,8439,0,,830.158.778,11021,426
Antigua and Barbuda,2000,0,3986,0,,830.158.778,11021,427
Antigua and Barbuda,2000,0,1413,0,,830.158.778,11021,428
Antigua and Barbuda,2000,0,5783,0,,830.158.778,11021,429
Antigua and Barbuda,2000,0,7177,0,,830.158.778,11021,430
Antigua and Barbuda,2000,0,7973,0,,830.158.778,11021,431
Antigua and Barbuda,2000,0,938,0,,830.158.778,11021,432
Antigua and Barbuda,2001,2,10281,19.45,,800.740.259,10468,433
Antigua and Barbuda,2001,0,6902,0,,800.740.259,10468,434
Antigua and Barbuda,2001,0,8425,0,,800.740.259,10468,435
Antigua and Barbuda,2001,0,11402,0,,800.740.259,10468,436
Antigua and Barbuda,2001,0,8428,0,,800.740.259,10468,437
Antigua and Barbuda,2001,0,4037,0,,800.740.259,10468,438
Antigua and Barbuda,2001,0,1487,0,,800.740.259,10468,439
Antigua and Barbuda,2001,0,6084,0,,800.740.259,10468,440
Antigua and Barbuda,2001,0,7071,0,,800.740.259,10468,441
Antigua and Barbuda,2001,0,7958,0,,800.740.259,10468,442
Antigua and Barbuda,2001,0,3442,0,,800.740.259,10468,443
Antigua and Barbuda,2001,0,980,0,,800.740.259,10468,444
Antigua and Barbuda,2002,0,7196,0,,814.615.333,10499,445
Antigua and Barbuda,2002,0,8155,0,,814.615.333,10499,446
Antigua and Barbuda,2002,0,11760,0,,814.615.333,10499,447
Antigua and Barbuda,2002,0,8408,0,,814.615.333,10499,448
Antigua and Barbuda,2002,0,4050,0,,814.615.333,10499,449
Antigua and Barbuda,2002,0,1547,0,,814.615.333,10499,450
Antigua and Barbuda,2002,0,6416,0,,814.615.333,10499,451
